cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_1333	M04	62.0	0.008064516129032258	0.06961938895752771	0.008378444022988102	-0.0003139278939558437	0.7193941816666666	0.3406549033333333	0.0790317036730353	False	True	-1.0
cluster_5928	M04	63.0	0.0	0.22430199430199424	0.10255717307302512	-0.10255717307302512	0.07055736325	-0.2442618735	0.2243019943019942	False	False	1.0
cluster_1688	M02	64.0	0.0	0.04444444444444445	0.06430051321082776	-0.06430051321082776			0.0444444444444444	False	False	1.0
cluster_5215	M13	65.0	1.0	0.07959910459910459	0.0932366116321044	0.9067633883678956	0.313585376882353	-0.038171618529411776	-1.6704008954008955	True	False	1.0
cluster_1806	M06	66.0	0.5	0.10163817663817663	0.028166992895936074	0.47183300710406395	0.5955772658	0.518909517	-0.8773091917828759	True	False	1.0
cluster_840	M13	67.0	0.0	0.04444444444444445	0.04049904231933986	-0.04049904231933986	-0.0903630925	-0.20618667699999998	0.2944444444444444	False	True	1.0
cluster_2776	M14	68.0	0.125	0.0250542501400625	0.010771019879958323	0.11422898012004168	-0.007005847	-1.7846584269999999	-0.1871079120220997	True	False	-1.0
cluster_6406	M02	69.0	0.0	0.022222222222222227	0.05209234846055187	-0.05209234846055187	0.08897375539999999	-0.6155965654	0.0222222222222222	False	False	1.0
cluster_6171	M04	70.0	0.15833333333333333	0.2763552645736553	0.09806206253121709	0.060271270802116236	-0.41662308366666667	-0.8417891609999999	0.09204153908345927	False	False	1.0
cluster_2324	M14	71.0	0.0	0.08692372986490632	0.11474520536737	-0.11474520536737	0.4262227371428571	0.08714773371428576	0.1989638636441705	False	True	1.0
cluster_2126	M02	72.0	0.0	0.003703703703703704	0.06202957557431165	-0.06202957557431165			0.0037037037037037	False	False	1.0
cluster_3133	M14	73.0	0.08333333333333333	0.0226437472965606	0.006689275065526418	0.07664405826780692	0.4600214569166666	0.17924127275	-0.08861166395885071	True	False	-1.0
cluster_915	M07	74.0	0.3333333333333333	0.21387219944338448	0.028094037770122062	0.3052392955632113	-0.131902419	-0.28845465600000003	-0.4201062951802715	True	False	-1.0
cluster_4920	M13	75.0	0.13541666666666666	0.0816198070934913	0.05050160036475808	0.08491506630190858	-0.5375087559999999	-0.5014445985	0.20093140129639006	False	False	1.0
cluster_4084	M04	76.0	0.09347943722943723	0.1229698055820157	0.03437018688308695	0.059109250346350284	0.08775926983720926	-0.19231705327906984	0.0982039135792816	False	True	-1.0
cluster_634	M13	77.0	0.0	0.03333333333333333	0.04255636041706572	-0.04255636041706572	0.18568472110638296	-0.21490564055319156	0.43333333333333335	False	True	1.0
cluster_4449	M13	78.0	0.0	0.022222222222222227	0.056399882687849456	-0.056399882687849456	0.26922970063636364	0.007488364363636362	0.2755555555555555	False	True	1.0
cluster_3227	M00	79.0	0.0	0.13499118165784835	0.01848065531962596	-0.01848065531962596	0.06883034942857144	-0.16135412814285713	0.2016578483245149	False	True	1.0
cluster_483	M11	80.0	0.0	0.029629629629629624	0.003909799196913213	-0.003909799196913213	0.19028365353658536	-0.1896995311707318	0.0296296296296296	False	False	-1.0
cluster_1586	M00	81.0	0.0	0.007407407407407406	0.03389972835517728	-0.03389972835517728	0.04816724248571429	-0.33939616594285704	0.1474074074074073	False	True	1.0
cluster_2004	M11	82.0	0.0	0.003421113421113421	0.057585833854520665	-0.057585833854520665	0.10176552803703703	0.07635525811111113	0.0034211134211134	False	False	1.0
cluster_5020	M00	83.0	0.02083333333333333	0.04261664261664262	0.008722835484329474	0.012110497849003855	-0.6553253875	-0.6479891411250001	0.0917884852667461	False	True	-1.0
